DrugID_clean,pharm_classes
0060-0060-60,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0061-0061-71,"Insulin Analog, Insulin"
0062-0062-82,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0063-0063-93,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0064-0064-04,"Macrolide Antimicrobial, Macrolides"
0065-0065-15,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0066-0066-26,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0067-0067-37,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0068-0068-48,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0069-0069-59,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0070-0070-70,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0071-0071-81,"Biguanide, Biguanides"
0072-0072-92,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0073-0073-03,"Penicillin-class Antibacterial, Penicillins"
0074-0074-14,"Biguanide, Biguanides"
0075-0075-25,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0076-0076-36,"Biguanide, Biguanides"
0077-0077-47,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0078-0078-58,"Insulin Analog, Insulin"
0079-0079-69,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0080-0080-80,"Penicillin-class Antibacterial, Penicillins"
0081-0081-91,"Insulin Analog, Insulin"
0082-0082-02,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0083-0083-13,"Penicillin-class Antibacterial, Penicillins"
0084-0084-24,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0085-0085-35,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0086-0086-46,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0087-0087-57,"Macrolide Antimicrobial, Macrolides"
0088-0088-68,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0089-0089-79,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0090-0090-90,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0091-0091-01,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0092-0092-12,"Insulin Analog, Insulin"
0093-0093-23,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0094-0094-34,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0095-0095-45,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0096-0096-56,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0097-0097-67,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0098-0098-78,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0099-0099-89,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0100-0100-00,"Thyroxine, l-Thyroxine"
0101-0101-11,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0102-0102-22,"Insulin Analog, Insulin"
0103-0103-33,"Biguanide, Biguanides"
0104-0104-44,"Thyroxine, l-Thyroxine"
0105-0105-55,"Penicillin-class Antibacterial, Penicillins"
0106-0106-66,"Macrolide Antimicrobial, Macrolides"
0107-0107-77,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0108-0108-88,"Biguanide, Biguanides"
0109-0109-99,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0110-0110-10,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0111-0111-21,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0112-0112-32,"Biguanide, Biguanides"
0113-0113-43,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0114-0114-54,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0115-0115-65,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0116-0116-76,"Penicillin-class Antibacterial, Penicillins"
0117-0117-87,"Macrolide Antimicrobial, Macrolides"
0118-0118-98,"Macrolide Antimicrobial, Macrolides"
0119-0119-09,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0120-0120-20,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0121-0121-31,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0122-0122-42,"Insulin Analog, Insulin"
0123-0123-53,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0124-0124-64,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0125-0125-75,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0126-0126-86,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0127-0127-97,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0128-0128-08,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0129-0129-19,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0130-0130-30,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0131-0131-41,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0132-0132-52,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0133-0133-63,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0134-0134-74,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0135-0135-85,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0136-0136-96,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0137-0137-07,"Thyroxine, l-Thyroxine"
0138-0138-18,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0139-0139-29,"Penicillin-class Antibacterial, Penicillins"
0140-0140-40,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0141-0141-51,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0142-0142-62,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0143-0143-73,"Thyroxine, l-Thyroxine"
0144-0144-84,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0145-0145-95,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0146-0146-06,"Biguanide, Biguanides"
0147-0147-17,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0148-0148-28,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0149-0149-39,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0150-0150-50,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0151-0151-61,"Penicillin-class Antibacterial, Penicillins"
0152-0152-72,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0153-0153-83,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0154-0154-94,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0155-0155-05,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0156-0156-16,"Insulin Analog, Insulin"
0157-0157-27,"Biguanide, Biguanides"
0158-0158-38,"Insulin Analog, Insulin"
0159-0159-49,"Macrolide Antimicrobial, Macrolides"
0160-0160-60,"Penicillin-class Antibacterial, Penicillins"
0161-0161-71,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0162-0162-82,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0163-0163-93,"Biguanide, Biguanides"
0164-0164-04,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0165-0165-15,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0166-0166-26,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0167-0167-37,"Penicillin-class Antibacterial, Penicillins"
0168-0168-48,"Penicillin-class Antibacterial, Penicillins"
0169-0169-59,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0170-0170-70,"Thyroxine, l-Thyroxine"
0171-0171-81,"Biguanide, Biguanides"
0172-0172-92,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0173-0173-03,"Biguanide, Biguanides"
0174-0174-14,"Thyroxine, l-Thyroxine"
0175-0175-25,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0176-0176-36,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0177-0177-47,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0178-0178-58,"Thyroxine, l-Thyroxine"
0179-0179-69,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0180-0180-80,"Macrolide Antimicrobial, Macrolides"
0181-0181-91,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0182-0182-02,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0183-0183-13,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0184-0184-24,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0185-0185-35,"Penicillin-class Antibacterial, Penicillins"
0186-0186-46,"Insulin Analog, Insulin"
0187-0187-57,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0188-0188-68,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0189-0189-79,"Macrolide Antimicrobial, Macrolides"
0190-0190-90,"Biguanide, Biguanides"
0191-0191-01,"Thyroxine, l-Thyroxine"
0192-0192-12,"Biguanide, Biguanides"
0193-0193-23,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0194-0194-34,"Penicillin-class Antibacterial, Penicillins"
0195-0195-45,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0196-0196-56,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0197-0197-67,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0198-0198-78,"Penicillin-class Antibacterial, Penicillins"
0199-0199-89,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0200-0200-00,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0201-0201-11,"Penicillin-class Antibacterial, Penicillins"
0202-0202-22,"Thyroxine, l-Thyroxine"
0203-0203-33,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0204-0204-44,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0205-0205-55,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0206-0206-66,"Biguanide, Biguanides"
0207-0207-77,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0208-0208-88,"Insulin Analog, Insulin"
0209-0209-99,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0210-0210-10,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0211-0211-21,"Insulin Analog, Insulin"
0212-0212-32,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0213-0213-43,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0214-0214-54,"Penicillin-class Antibacterial, Penicillins"
0215-0215-65,"Macrolide Antimicrobial, Macrolides"
0216-0216-76,"Macrolide Antimicrobial, Macrolides"
0217-0217-87,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0218-0218-98,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0219-0219-09,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0220-0220-20,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
